Study_Hours,Attendance,Assignment_Score,Previous_Test_Score,Final_Exam_Marks
8.7,76.0,76.0,89.0,75.7
5.9,82.0,72.0,61.0,68.2
8.0,80.0,93.0,93.0,81.0
6.7,81.0,43.0,69.0,63.5
4.7,72.0,88.0,51.0,68.9
6.7,80.0,90.0,72.0,80.5
9.1,85.0,50.0,61.0,76.4
5.9,95.0,71.0,81.0,71.3
9.1,90.0,71.0,62.0,78.3
0.8,100.0,58.0,64.0,61.5
7.6,72.0,66.0,45.0,67.0
6.2,89.0,62.0,64.0,79.1
5.4,82.0,96.0,38.0,69.0
6.2,100.0,86.0,49.0,75.1
2.0,72.0,90.0,80.0,61.4
5.6,72.0,84.0,80.0,72.0
6.7,74.0,61.0,76.0,69.1
9.0,59.0,69.0,57.0,73.0
5.0,75.0,81.0,69.0,71.6
4.4,72.0,60.0,70.0,58.2
5.0,82.0,84.0,55.0,62.0
7.8,83.0,72.0,90.0,72.6
6.7,99.0,71.0,81.0,80.9
4.9,90.0,84.0,67.0,67.0
7.0,74.0,80.0,70.0,64.5
6.2,71.0,71.0,73.0,70.5
7.9,85.0,89.0,43.0,84.7
4.6,67.0,62.0,67.0,60.4
5.3,98.0,82.0,61.0,76.3
5.2,92.0,82.0,57.0,70.7
3.1,75.0,71.0,66.0,59.4
6.6,63.0,79.0,93.0,77.3
6.5,94.0,60.0,78.0,73.1
6.0,79.0,86.0,63.0,72.4
5.5,92.0,73.0,77.0,74.7
3.2,64.0,69.0,88.0,58.7
5.2,74.0,88.0,82.0,76.0
5.3,80.0,67.0,71.0,66.7
4.4,80.0,58.0,62.0,58.3
5.7,75.0,56.0,79.0,68.9
6.8,86.0,82.0,75.0,73.3
9.8,69.0,60.0,82.0,78.2
6.3,79.0,96.0,78.0,77.2
6.5,81.0,50.0,84.0,74.6
5.9,85.0,95.0,63.0,76.3
2.2,87.0,78.0,87.0,65.8
5.9,69.0,74.0,73.0,71.4
6.1,65.0,68.0,97.0,76.9
10.9,93.0,80.0,61.0,89.2
5.6,83.0,75.0,93.0,75.1
6.6,73.0,88.0,73.0,68.7
5.9,96.0,76.0,62.0,68.9
3.7,81.0,77.0,64.0,62.6
8.3,92.0,71.0,66.0,76.2
7.5,81.0,74.0,76.0,75.5
7.6,100.0,79.0,77.0,82.7
4.2,98.0,54.0,63.0,66.8
8.8,78.0,59.0,70.0,74.7
3.2,90.0,84.0,98.0,74.8
7.2,86.0,77.0,92.0,80.7
10.4,94.0,73.0,76.0,79.5
4.0,70.0,75.0,70.0,58.9
4.9,87.0,79.0,72.0,70.1
6.2,91.0,69.0,78.0,69.7
5.0,62.0,66.0,57.0,61.5
2.9,68.0,77.0,67.0,65.0
6.1,60.0,63.0,48.0,64.2
3.9,77.0,80.0,75.0,65.3
6.9,87.0,55.0,78.0,78.6
4.2,95.0,87.0,64.0,71.3
9.1,81.0,81.0,90.0,83.6
4.4,96.0,78.0,54.0,65.3
5.4,66.0,87.0,51.0,63.0
7.6,63.0,95.0,73.0,74.1
3.5,79.0,87.0,84.0,69.4
6.5,84.0,53.0,92.0,73.8
8.6,80.0,60.0,64.0,73.9
2.8,59.0,68.0,84.0,59.7
6.4,79.0,75.0,69.0,76.2
6.5,67.0,81.0,68.0,73.5
7.6,87.0,66.0,81.0,71.5
3.5,84.0,77.0,78.0,56.6
3.4,71.0,66.0,50.0,59.2
7.0,75.0,68.0,89.0,69.3
6.6,69.0,58.0,88.0,69.0
6.5,79.0,64.0,62.0,63.5
6.7,90.0,59.0,75.0,65.9
4.6,70.0,63.0,76.0,65.3
6.5,85.0,88.0,73.0,79.7
6.6,75.0,64.0,63.0,65.3
4.6,72.0,100.0,61.0,57.7
9.7,79.0,81.0,70.0,79.9
6.9,70.0,77.0,85.0,75.8
3.6,74.0,65.0,77.0,56.1
7.3,68.0,83.0,65.0,72.8
4.1,100.0,68.0,80.0,71.0
7.6,80.0,76.0,33.0,70.4
8.3,73.0,100.0,85.0,84.0
4.4,82.0,74.0,47.0,58.1
7.9,79.0,89.0,65.0,82.5
6.8,78.0,67.0,55.0,67.3
7.6,86.0,75.0,53.0,73.3
9.8,88.0,96.0,85.0,86.9
5.5,75.0,67.0,64.0,63.6
4.5,74.0,97.0,75.0,67.0
4.2,77.0,83.0,69.0,65.7
4.4,57.0,68.0,76.0,67.2
5.8,65.0,83.0,71.0,62.8
6.7,94.0,87.0,53.0,68.8
6.6,96.0,82.0,83.0,86.4
7.7,78.0,56.0,64.0,69.2
6.0,86.0,66.0,50.0,63.8
8.9,83.0,72.0,64.0,82.0
5.5,100.0,74.0,90.0,75.8
11.4,91.0,82.0,81.0,99.6
7.3,79.0,77.0,65.0,76.3
4.3,70.0,59.0,65.0,57.4
3.9,64.0,80.0,66.0,69.7
7.0,82.0,82.0,97.0,78.5
5.6,72.0,82.0,75.0,73.0
7.4,66.0,88.0,76.0,76.2
6.9,74.0,85.0,83.0,81.6
5.9,69.0,81.0,73.0,75.8
4.3,97.0,74.0,67.0,69.6
3.0,89.0,55.0,67.0,57.0
5.1,80.0,80.0,69.0,70.9
7.7,95.0,77.0,70.0,77.0
6.4,81.0,78.0,79.0,82.6
3.5,71.0,60.0,71.0,59.3
6.3,95.0,62.0,80.0,73.3
6.8,85.0,88.0,69.0,77.4
4.2,70.0,75.0,71.0,58.1
6.3,78.0,83.0,44.0,63.7
6.1,71.0,75.0,82.0,76.0
3.7,66.0,75.0,75.0,59.2
6.7,89.0,86.0,83.0,75.6
7.1,99.0,69.0,32.0,72.0
8.2,66.0,76.0,97.0,83.8
8.1,86.0,69.0,68.0,79.5
3.2,73.0,70.0,84.0,67.0
4.1,75.0,71.0,56.0,57.6
7.0,74.0,78.0,78.0,68.6
7.0,71.0,69.0,56.0,73.4
7.0,80.0,90.0,62.0,73.7
12.0,72.0,64.0,95.0,87.4
7.1,83.0,73.0,68.0,79.1
8.3,79.0,70.0,73.0,78.8
7.9,78.0,92.0,81.0,83.0
7.3,71.0,77.0,76.0,82.5
5.4,74.0,87.0,72.0,67.8
7.5,88.0,57.0,75.0,78.1
4.5,85.0,78.0,100.0,74.7
5.5,70.0,86.0,69.0,70.0
5.0,81.0,76.0,73.0,75.2
6.2,88.0,88.0,84.0,80.8
10.6,63.0,69.0,84.0,83.2
2.3,85.0,92.0,85.0,72.4
7.4,73.0,100.0,78.0,78.1
2.8,86.0,71.0,55.0,56.2
5.1,72.0,70.0,91.0,65.3
8.2,62.0,92.0,55.0,65.0
6.1,64.0,94.0,74.0,79.9
3.8,80.0,69.0,60.0,57.0
4.6,83.0,70.0,69.0,65.5
7.4,71.0,72.0,74.0,71.6
4.5,86.0,59.0,74.0,66.9
6.4,63.0,64.0,75.0,69.7
6.1,79.0,63.0,91.0,76.1
4.7,68.0,66.0,76.0,61.2
10.3,73.0,75.0,67.0,79.8
7.3,80.0,78.0,83.0,78.8
1.9,71.0,94.0,85.0,62.9
6.4,76.0,63.0,54.0,71.7
4.7,90.0,87.0,78.0,75.6
7.7,74.0,72.0,79.0,78.2
4.4,88.0,74.0,66.0,70.0
5.8,69.0,83.0,88.0,77.4
7.0,85.0,62.0,68.0,72.6
7.7,94.0,80.0,72.0,75.3
3.6,55.0,77.0,68.0,59.4
5.3,72.0,81.0,70.0,65.4
5.1,86.0,78.0,56.0,65.5
4.7,78.0,100.0,51.0,70.2
9.5,84.0,67.0,91.0,89.2
6.8,74.0,69.0,59.0,68.2
3.5,81.0,68.0,57.0,61.3
7.8,78.0,68.0,42.0,75.1
10.2,92.0,67.0,62.0,83.3
8.1,83.0,89.0,53.0,87.2
3.0,83.0,92.0,91.0,73.0
5.0,76.0,68.0,83.0,61.2
8.5,75.0,65.0,61.0,75.8
4.6,76.0,81.0,99.0,74.4
6.9,84.0,68.0,83.0,80.7
7.5,76.0,83.0,66.0,77.5
4.1,83.0,77.0,38.0,59.7
5.9,100.0,57.0,100.0,73.0
0.5,89.0,94.0,52.0,57.0
4.0,77.0,97.0,49.0,61.2
5.5,92.0,68.0,83.0,71.3
3.5,76.0,70.0,100.0,70.2
9.3,60.0,78.0,88.0,85.9
3.1,70.0,79.0,77.0,64.0
5.1,61.0,83.0,78.0,61.9
6.3,76.0,99.0,81.0,79.4
8.9,80.0,73.0,80.0,85.3
3.1,97.0,65.0,74.0,63.3
8.3,83.0,58.0,71.0,74.3
6.0,78.0,66.0,69.0,68.4
4.0,88.0,75.0,60.0,62.1
6.9,58.0,97.0,66.0,74.0
6.4,82.0,69.0,48.0,66.3
4.8,88.0,78.0,69.0,71.5
6.1,65.0,75.0,57.0,61.2
5.2,91.0,89.0,56.0,69.6
6.2,83.0,100.0,72.0,80.4
7.3,76.0,69.0,88.0,74.3
9.2,86.0,69.0,82.0,89.4
3.5,100.0,88.0,50.0,65.8
10.3,82.0,83.0,57.0,83.2
2.1,82.0,97.0,82.0,70.9
5.7,75.0,82.0,57.0,61.8
7.2,72.0,71.0,67.0,63.7
6.6,88.0,82.0,77.0,71.2
4.8,71.0,88.0,57.0,70.2
5.6,81.0,85.0,71.0,69.9
5.0,75.0,81.0,53.0,74.8
4.8,85.0,88.0,62.0,67.4
7.7,83.0,89.0,74.0,80.6
6.7,90.0,92.0,49.0,80.6
4.6,75.0,83.0,76.0,76.5
7.8,77.0,73.0,70.0,82.9
6.6,70.0,77.0,77.0,76.6
7.6,76.0,89.0,73.0,81.8
7.3,84.0,65.0,88.0,79.4
